date,state,sentiment
20210127,AL,0.83925
20210128,AL,0.76775
20210129,AL,0.673175
20210130,AL,0
20210131,AL,0.6249
20210201,AL,0
20210202,AL,0
20210203,AL,0
20210204,AL,0
20210205,AL,0
20210206,AL,0
20210207,AL,0
20210208,AL,0
20210209,AL,0.1511
20210210,AL,0.9538
20210211,AL,0.4655
20210212,AL,-0.1531
20210213,AL,0
20210214,AL,0.7947
20210215,AL,0
20210216,AL,0
20210217,AL,-0.4404
20210218,AL,0
20210219,AL,0.6476
20210220,AL,0
20210221,AL,0.5719
20210222,AL,0
20210223,AL,0.06375
20210224,AL,0.7783
20210225,AL,0.6369
20210226,AL,0.4019
20210227,AL,0.8832
20210228,AL,0
20210301,AL,0.0576
20210302,AL,0.9556
20210303,AL,0.1204
20210304,AL,-0.5719
20210305,AL,0.37095
20210306,AL,0
20210307,AL,0
20210308,AL,0
20210309,AL,0.62175
20210310,AL,0.4574
20210311,AL,0.49525
20210312,AL,0
20210313,AL,0
20210314,AL,0.4574
20210315,AL,0.282325
20210316,AL,0.4566
20210317,AL,0.56095
20210318,AL,0.624666667
20210319,AL,0
20210320,AL,0.45668
20210321,AL,0.9001
20210322,AL,0.53722
20200320,AR,0.128
20200321,AR,0.2202
20200322,AR,0
20200323,AR,0.631
20200324,AR,-0.05615
20200325,AR,0.6632
20200326,AR,0
20200327,AR,0
20200328,AR,-0.0772
20200330,AR,0
20200331,AR,0.2202
20200401,AR,0
20200402,AR,0.4215
20200403,AR,0.80705
20200404,AR,0
20200405,AR,0.8832
20200406,AR,-0.08985
20200407,AR,0
20200408,AR,0
20200409,AR,0
20200410,AR,0
20200411,AR,0
20200412,AR,0
20200413,AR,0
20200414,AR,0
20200415,AR,0
20200416,AR,0
20200417,AR,0
20200418,AR,0
20200419,AR,0
20200420,AR,0.46035
20200421,AR,0
20200422,AR,0
20200423,AR,-0.3637
20200424,AR,-0.4215
20200425,AR,-0.01935
20200426,AR,0
20200427,AR,0
20200428,AR,0
20200429,AR,0
20200430,AR,0.9022
20200501,AR,0.215057143
20200502,AR,0.894266667
20200503,AR,0.7003
20200504,AR,0
20200505,AR,0.8395
20200506,AR,0.4019
20200507,AR,-0.0676
20200508,AR,0.02518
20200509,AR,0
20200510,AR,0.5748
20200511,AR,0.5929
20200512,AR,0.402266667
20200513,AR,0.6808
20200514,AR,0.4017
20200515,AR,0.9437
20200516,AR,0.6696
20200517,AR,0
20200518,AR,0
20200519,AR,0
20200520,AR,0
20200521,AR,-0.6186
20200522,AR,0.2499
20200523,AR,0
20200524,AR,0.6705
20200525,AR,0
20200526,AR,0
20200527,AR,0.21095
20200528,AR,-0.0386
20200529,AR,0
20200530,AR,-0.17215
20200531,AR,0
20200601,AR,0.54855
20200602,AR,0
20200603,AR,0.0951
20200604,AR,0.07485
20200605,AR,0
20200606,AR,0
20200607,AR,0.5431
20200608,AR,0.29295
20200609,AR,0.6666
20200610,AR,0.7506
20200611,AR,0.1734
20200612,AR,0.73865
20200613,AR,-0.4767
20200614,AR,0.3802
20200615,AR,0
20200616,AR,-0.296
20200617,AR,0
20200618,AR,0.6555
20200619,AR,0.751175
20200620,AR,0.169866667
20200621,AR,0.206566667
20200622,AR,-0.21075
20200623,AR,-0.006133333
20200624,AR,0
20200625,AR,0
20200626,AR,-0.216666667
20200627,AR,0
20200628,AR,0.393266667
20200629,AR,0.7506
20200630,AR,0.22022
20200701,AR,0.314125
20200702,AR,0.4847
20200703,AR,0.4787
20200704,AR,0.20095
20200705,AR,-0.3454
20200706,AR,0
20200707,AR,0.9194
20200708,AR,-0.4184
20200709,AR,0
20200710,AR,0.125
20200711,AR,0.286433333
20200712,AR,0.7179
20200713,AR,0.4939
20200714,AR,0.5719
20200715,AR,0.2732
20200716,AR,0
20200717,AR,0.2511
20200718,AR,0.27115
20200719,AR,0.253933333
20200720,AR,0.126233333
20200721,AR,0.5994
20200722,AR,0.2023
20200723,AR,0.4666
20200724,AR,0.451
20200725,AR,0.20075
20200726,AR,0.4375
20200727,AR,-0.012
20200728,AR,0.91
20200729,AR,0.426233333
20200730,AR,0.2978
20200731,AR,0.551575
20200801,AR,0.59965
20200802,AR,0.025733333
20200803,AR,0
20200804,AR,0
